yaw, 13.3, pitch, 0.6, roll, 0.1, Hz, 96.5, roll_des, -0.1, pitch_des, 0.2, thro_des, 0.0, yaw_des, -0.6, CH1, 1499, CH2, 1497, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1031, CH8, 1000,  m1_comm, 1002, m2_comm, 1003, m3_comm, 997, m4_comm, 1001

yaw, 13.3, pitch, 0.6, roll, 0.1, Hz, 104.3, roll_des, -0.1, pitch_des, 0.2, thro_des, 0.0, yaw_des, -0.6, CH1, 1499, CH2, 1497, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1031, CH8, 1000,  m1_comm, 1002, m2_comm, 1003, m3_comm, 997, m4_comm, 1001

yaw, 13.3, pitch, 0.6, roll, 0.1, Hz, 98.8, roll_des, -0.1, pitch_des, 0.2, thro_des, 0.0, yaw_des, -0.6, CH1, 1499, CH2, 1497, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1031, CH8, 1000,  m1_comm, 1002, m2_comm, 1003, m3_comm, 997, m4_comm, 1001

yaw, 13.3, pitch, 0.6, roll, 0.1, Hz, 99.4, roll_des, -0.1, pitch_des, 0.3, thro_des, 0.0, yaw_des, -0.6, CH1, 1499, CH2, 1495, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1033, CH8, 1000,  m1_comm, 1002, m2_comm, 1003, m3_comm, 997, m4_comm, 1001

yaw, 13.3, pitch, 0.6, roll, 0.1, Hz, 99.3, roll_des, -0.1, pitch_des, 0.4, thro_des, 0.0, yaw_des, -0.6, CH1, 1499, CH2, 1494, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1033, CH8, 1958,  m1_comm, 1002, m2_comm, 1003, m3_comm, 997, m4_comm, 1001

yaw, 13.3, pitch, 0.6, roll, 0.1, Hz, 98.9, roll_des, -0.1, pitch_des, 0.3, thro_des, 0.0, yaw_des, -0.6, CH1, 1499, CH2, 1495, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1033, CH8, 1958,  m1_comm, 1002, m2_comm, 1003, m3_comm, 997, m4_comm, 1001

yaw, 13.3, pitch, 0.6, roll, 0.1, Hz, 99.0, roll_des, -0.1, pitch_des, 0.3, thro_des, 0.0, yaw_des, -0.6, CH1, 1499, CH2, 1495, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1033, CH8, 1998,  m1_comm, 1002, m2_comm, 1003, m3_comm, 997, m4_comm, 1001

yaw, 13.3, pitch, 0.6, roll, 0.1, Hz, 104.5, roll_des, -0.1, pitch_des, 0.3, thro_des, 0.0, yaw_des, -0.6, CH1, 1498, CH2, 1495, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1031, CH8, 1998,  m1_comm, 1002, m2_comm, 1003, m3_comm, 995, m4_comm, 1003

yaw, 13.3, pitch, 0.6, roll, 0.1, Hz, 99.9, roll_des, -0.2, pitch_des, 0.3, thro_des, 0.0, yaw_des, -0.6, CH1, 1497, CH2, 1495, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1031, CH8, 1997,  m1_comm, 1002, m2_comm, 1003, m3_comm, 997, m4_comm, 1001

yaw, 13.3, pitch, 0.6, roll, 0.1, Hz, 99.9, roll_des, -0.2, pitch_des, 0.3, thro_des, 0.0, yaw_des, -0.6, CH1, 1497, CH2, 1495, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1034, CH8, 1997,  m1_comm, 1001, m2_comm, 1004, m3_comm, 997, m4_comm, 1001

yaw, 13.3, pitch, 0.6, roll, 0.1, Hz, 99.5, roll_des, -0.2, pitch_des, 0.3, thro_des, 0.0, yaw_des, -0.6, CH1, 1497, CH2, 1495, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1034, CH8, 1000,  m1_comm, 1002, m2_comm, 1003, m3_comm, 997, m4_comm, 1001

yaw, 13.3, pitch, 0.6, roll, 0.2, Hz, 99.6, roll_des, -0.2, pitch_des, 0.3, thro_des, 0.0, yaw_des, -0.6, CH1, 1496, CH2, 1495, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1035, CH8, 1000,  m1_comm, 1002, m2_comm, 1003, m3_comm, 997, m4_comm, 1001

yaw, 13.3, pitch, 0.6, roll, 0.2, Hz, 100.1, roll_des, -0.2, pitch_des, 0.3, thro_des, 0.0, yaw_des, -0.6, CH1, 1496, CH2, 1495, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1035, CH8, 1990,  m1_comm, 1001, m2_comm, 1004, m3_comm, 997, m4_comm, 1001

yaw, 13.3, pitch, 0.6, roll, 0.2, Hz, 94.7, roll_des, -0.2, pitch_des, 0.3, thro_des, 0.0, yaw_des, -0.6, CH1, 1497, CH2, 1495, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1033, CH8, 1990,  m1_comm, 1002, m2_comm, 1003, m3_comm, 997, m4_comm, 1001

yaw, 13.3, pitch, 0.6, roll, 0.2, Hz, 104.1, roll_des, -0.2, pitch_des, 0.3, thro_des, 0.0, yaw_des, -0.6, CH1, 1497, CH2, 1495, CH3, 1003, CH4, 1498, CH5, 1000, CH6, 1014, CH7, 1033, CH8, 1000,  m1_comm, 1002, m2_comm, 1003, m3_comm, 997, m4_comm, 1001

